MS US Equity,,,TXN US Equity,
Dates,Close,,Dates,Close
23/1/2019 9:30,42.57,,23/1/2019 9:30,96.63
23/1/2019 9:31,42.46,,23/1/2019 9:31,96.42
23/1/2019 9:32,42.49,,23/1/2019 9:32,96.51
23/1/2019 9:33,42.43,,23/1/2019 9:33,96.81
23/1/2019 9:34,42.525,,23/1/2019 9:34,96.745
23/1/2019 9:35,42.6,,23/1/2019 9:35,96.79
23/1/2019 9:36,42.49,,23/1/2019 9:36,96.76
23/1/2019 9:37,42.491,,23/1/2019 9:37,96.79
23/1/2019 9:38,42.39,,23/1/2019 9:38,96.75
23/1/2019 9:39,42.44,,23/1/2019 9:39,96.64
23/1/2019 9:40,42.4,,23/1/2019 9:40,96.73
23/1/2019 9:41,42.42,,23/1/2019 9:41,96.77
23/1/2019 9:42,42.41,,23/1/2019 9:42,96.79
23/1/2019 9:43,42.48,,23/1/2019 9:43,96.9
23/1/2019 9:44,42.3548,,23/1/2019 9:44,96.65
23/1/2019 9:45,42.41,,23/1/2019 9:45,96.78
23/1/2019 9:46,42.34,,23/1/2019 9:46,96.6
23/1/2019 9:47,42.44,,23/1/2019 9:47,96.54
23/1/2019 9:48,42.49,,23/1/2019 9:48,96.5
23/1/2019 9:49,42.49,,23/1/2019 9:49,96.62
23/1/2019 9:50,42.48,,23/1/2019 9:50,96.93
23/1/2019 9:51,42.43,,23/1/2019 9:51,96.84
23/1/2019 9:52,42.42,,23/1/2019 9:52,96.95
23/1/2019 9:53,42.475,,23/1/2019 9:53,97
23/1/2019 9:54,42.505,,23/1/2019 9:54,96.92
23/1/2019 9:55,42.52,,23/1/2019 9:55,96.99
23/1/2019 9:56,42.55,,23/1/2019 9:56,97.17
23/1/2019 9:57,42.53,,23/1/2019 9:57,97.24
23/1/2019 9:58,42.52,,23/1/2019 9:58,97.29
23/1/2019 9:59,42.5,,23/1/2019 9:59,97.3
23/1/2019 10:00,42.46,,23/1/2019 10:00,97.145
23/1/2019 10:01,42.48,,23/1/2019 10:01,97.155
23/1/2019 10:02,42.52,,23/1/2019 10:02,97.2
23/1/2019 10:03,42.5282,,23/1/2019 10:03,97.21
23/1/2019 10:04,42.59,,23/1/2019 10:04,97.27
23/1/2019 10:05,42.56,,23/1/2019 10:05,97.13
23/1/2019 10:06,42.56,,23/1/2019 10:06,97.14
23/1/2019 10:07,42.5151,,23/1/2019 10:07,97.12
23/1/2019 10:08,42.56,,23/1/2019 10:08,97.07
23/1/2019 10:09,42.567,,23/1/2019 10:09,97.15
23/1/2019 10:10,42.58,,23/1/2019 10:10,97.12
23/1/2019 10:11,42.56,,23/1/2019 10:11,96.96
23/1/2019 10:12,42.58,,23/1/2019 10:12,97.01
23/1/2019 10:13,42.51,,23/1/2019 10:13,96.94
23/1/2019 10:14,42.54,,23/1/2019 10:14,96.96
23/1/2019 10:15,42.56,,23/1/2019 10:15,97.04
23/1/2019 10:16,42.5,,23/1/2019 10:16,96.97
23/1/2019 10:17,42.52,,23/1/2019 10:17,96.86
23/1/2019 10:18,42.45,,23/1/2019 10:18,96.72
23/1/2019 10:19,42.41,,23/1/2019 10:19,96.64
23/1/2019 10:20,42.42,,23/1/2019 10:20,96.775
23/1/2019 10:21,42.41,,23/1/2019 10:21,96.765
23/1/2019 10:22,42.36,,23/1/2019 10:22,96.78
23/1/2019 10:23,42.38,,23/1/2019 10:23,96.86
23/1/2019 10:24,42.39,,23/1/2019 10:24,96.87
23/1/2019 10:25,42.38,,23/1/2019 10:25,96.87
23/1/2019 10:26,42.3329,,23/1/2019 10:26,96.71
23/1/2019 10:27,42.33,,23/1/2019 10:27,96.72
23/1/2019 10:28,42.3,,23/1/2019 10:28,96.675
23/1/2019 10:29,42.33,,23/1/2019 10:29,96.69
23/1/2019 10:30,42.29,,23/1/2019 10:30,96.65
23/1/2019 10:31,42.295,,23/1/2019 10:31,96.75
23/1/2019 10:32,42.32,,23/1/2019 10:32,96.77
23/1/2019 10:33,42.32,,23/1/2019 10:33,96.77
23/1/2019 10:34,42.27,,23/1/2019 10:34,96.71
23/1/2019 10:35,42.23,,23/1/2019 10:35,96.7
23/1/2019 10:36,42.2101,,23/1/2019 10:36,96.73
23/1/2019 10:37,42.2,,23/1/2019 10:37,96.73
23/1/2019 10:38,42.15,,23/1/2019 10:38,96.78
23/1/2019 10:39,42.1034,,23/1/2019 10:39,96.68
23/1/2019 10:40,42.1177,,23/1/2019 10:40,96.61
23/1/2019 10:41,42.1546,,23/1/2019 10:41,96.695
23/1/2019 10:42,42.16,,23/1/2019 10:42,96.69
23/1/2019 10:43,42.13,,23/1/2019 10:43,96.66
23/1/2019 10:44,42.12,,23/1/2019 10:44,96.61
23/1/2019 10:45,42.165,,23/1/2019 10:45,96.63
23/1/2019 10:46,42.2,,23/1/2019 10:46,96.52
23/1/2019 10:47,42.15,,23/1/2019 10:47,96.477
23/1/2019 10:48,42.18,,23/1/2019 10:48,96.51
23/1/2019 10:49,42.15,,23/1/2019 10:49,96.42
23/1/2019 10:50,42.12,,23/1/2019 10:50,96.425
23/1/2019 10:51,42.08,,23/1/2019 10:51,96.336
23/1/2019 10:52,42.03,,23/1/2019 10:52,96.38
23/1/2019 10:53,42.04,,23/1/2019 10:53,96.42
23/1/2019 10:54,42.08,,23/1/2019 10:54,96.42
23/1/2019 10:55,42.06,,23/1/2019 10:55,96.373
23/1/2019 10:56,41.975,,23/1/2019 10:56,96.38
23/1/2019 10:57,41.98,,23/1/2019 10:57,96.34
23/1/2019 10:58,41.9828,,23/1/2019 10:58,96.335
23/1/2019 10:59,41.97,,23/1/2019 10:59,96.33
23/1/2019 11:00,42.01,,23/1/2019 11:00,96.32
23/1/2019 11:01,42,,23/1/2019 11:01,96.345
23/1/2019 11:02,41.99,,23/1/2019 11:02,96.3
23/1/2019 11:03,42.05,,23/1/2019 11:03,96.37
23/1/2019 11:04,42.14,,23/1/2019 11:04,96.43
23/1/2019 11:05,42.095,,23/1/2019 11:05,96.405
23/1/2019 11:06,42.065,,23/1/2019 11:06,96.4
23/1/2019 11:07,42.06,,23/1/2019 11:07,96.39
23/1/2019 11:08,42.09,,23/1/2019 11:08,96.34
23/1/2019 11:09,42.055,,23/1/2019 11:09,96.39
23/1/2019 11:10,42.06,,23/1/2019 11:10,96.47
23/1/2019 11:11,42.1078,,23/1/2019 11:11,96.55
23/1/2019 11:12,42.055,,23/1/2019 11:12,96.505
23/1/2019 11:13,42.05,,23/1/2019 11:13,96.45
23/1/2019 11:14,42.065,,23/1/2019 11:14,96.36
23/1/2019 11:15,42.09,,23/1/2019 11:15,96.41
23/1/2019 11:16,42.06,,23/1/2019 11:16,96.22
23/1/2019 11:17,42.01,,23/1/2019 11:17,96.21
23/1/2019 11:18,41.9711,,23/1/2019 11:18,96.175
23/1/2019 11:19,42.04,,23/1/2019 11:19,96.07
23/1/2019 11:20,41.99,,23/1/2019 11:20,96.048
23/1/2019 11:21,42,,23/1/2019 11:21,96.01
23/1/2019 11:22,41.9525,,23/1/2019 11:22,95.94
23/1/2019 11:23,41.93,,23/1/2019 11:23,95.93
23/1/2019 11:24,41.955,,23/1/2019 11:24,95.93
23/1/2019 11:25,41.98,,23/1/2019 11:25,95.895
23/1/2019 11:26,41.97,,23/1/2019 11:26,95.825
23/1/2019 11:27,41.961,,23/1/2019 11:27,95.9
23/1/2019 11:28,41.99,,23/1/2019 11:28,95.92
23/1/2019 11:29,41.99,,23/1/2019 11:29,96.04
23/1/2019 11:30,41.955,,23/1/2019 11:30,95.98
23/1/2019 11:31,41.9,,23/1/2019 11:31,95.985
23/1/2019 11:32,41.905,,23/1/2019 11:32,95.895
23/1/2019 11:33,41.93,,23/1/2019 11:33,95.9
23/1/2019 11:34,41.95,,23/1/2019 11:34,95.95
23/1/2019 11:35,41.99,,23/1/2019 11:35,95.898
23/1/2019 11:36,41.97,,23/1/2019 11:36,95.83
23/1/2019 11:37,41.925,,23/1/2019 11:37,95.64
23/1/2019 11:38,41.91,,23/1/2019 11:38,95.63
23/1/2019 11:39,41.93,,23/1/2019 11:39,95.67
23/1/2019 11:40,41.915,,23/1/2019 11:40,95.636
23/1/2019 11:41,41.92,,23/1/2019 11:41,95.63
23/1/2019 11:42,41.89,,23/1/2019 11:42,95.53
23/1/2019 11:43,41.89,,23/1/2019 11:43,95.6
23/1/2019 11:44,41.87,,23/1/2019 11:44,95.51
23/1/2019 11:45,41.88,,23/1/2019 11:45,95.437
23/1/2019 11:46,41.825,,23/1/2019 11:46,95.33
23/1/2019 11:47,41.83,,23/1/2019 11:47,95.279
23/1/2019 11:48,41.8131,,23/1/2019 11:48,95.29
23/1/2019 11:49,41.79,,23/1/2019 11:49,95.18
23/1/2019 11:50,41.81,,23/1/2019 11:50,95.23
23/1/2019 11:51,41.83,,23/1/2019 11:51,95.16
23/1/2019 11:52,41.79,,23/1/2019 11:52,95.13
23/1/2019 11:53,41.77,,23/1/2019 11:53,95.18
23/1/2019 11:54,41.74,,23/1/2019 11:54,95.09
23/1/2019 11:55,41.73,,23/1/2019 11:55,95.035
23/1/2019 11:56,41.76,,23/1/2019 11:56,95.14
23/1/2019 11:57,41.75,,23/1/2019 11:57,95.14
23/1/2019 11:58,41.73,,23/1/2019 11:58,95.18
23/1/2019 11:59,41.7,,23/1/2019 11:59,95.17
23/1/2019 12:00,41.73,,23/1/2019 12:00,95.25
23/1/2019 12:01,41.72,,23/1/2019 12:01,95.207
23/1/2019 12:02,41.74,,23/1/2019 12:02,95.18
23/1/2019 12:03,41.8,,23/1/2019 12:03,95.21
23/1/2019 12:04,41.83,,23/1/2019 12:04,95.14
23/1/2019 12:05,41.82,,23/1/2019 12:05,95.02
23/1/2019 12:06,41.845,,23/1/2019 12:06,95.17
23/1/2019 12:07,41.83,,23/1/2019 12:07,95.115
23/1/2019 12:08,41.77,,23/1/2019 12:08,94.89
23/1/2019 12:09,41.78,,23/1/2019 12:09,94.98
23/1/2019 12:10,41.765,,23/1/2019 12:10,95.04
23/1/2019 12:11,41.69,,23/1/2019 12:11,95.01
23/1/2019 12:12,41.69,,23/1/2019 12:12,95
23/1/2019 12:13,41.66,,23/1/2019 12:13,94.94
23/1/2019 12:14,41.695,,23/1/2019 12:14,95.01
23/1/2019 12:15,41.68,,23/1/2019 12:15,94.91
23/1/2019 12:16,41.67,,23/1/2019 12:16,94.97
23/1/2019 12:17,41.7,,23/1/2019 12:17,95.03
23/1/2019 12:18,41.71,,23/1/2019 12:18,94.97
23/1/2019 12:19,41.6916,,23/1/2019 12:19,95.075
23/1/2019 12:20,41.69,,23/1/2019 12:20,95.09
23/1/2019 12:21,41.725,,23/1/2019 12:21,95.21
23/1/2019 12:22,41.72,,23/1/2019 12:22,95.18
23/1/2019 12:23,41.79,,23/1/2019 12:23,95.27
23/1/2019 12:24,41.84,,23/1/2019 12:24,95.31
23/1/2019 12:25,41.8699,,23/1/2019 12:25,95.3
23/1/2019 12:26,41.855,,23/1/2019 12:26,95.42
23/1/2019 12:27,41.86,,23/1/2019 12:27,95.38
23/1/2019 12:28,41.85,,23/1/2019 12:28,95.285
23/1/2019 12:29,41.85,,23/1/2019 12:29,95.24
23/1/2019 12:30,41.8823,,23/1/2019 12:30,95.24
23/1/2019 12:31,41.925,,23/1/2019 12:31,95.32
23/1/2019 12:32,41.92,,23/1/2019 12:32,95.36
23/1/2019 12:33,41.91,,23/1/2019 12:33,95.34
23/1/2019 12:34,41.925,,23/1/2019 12:34,95.37
23/1/2019 12:35,41.93,,23/1/2019 12:35,95.39
23/1/2019 12:36,41.92,,23/1/2019 12:36,95.345
23/1/2019 12:37,41.91,,23/1/2019 12:37,95.275
23/1/2019 12:38,41.87,,23/1/2019 12:38,95.17
23/1/2019 12:39,41.895,,23/1/2019 12:39,95.214
23/1/2019 12:40,41.88,,23/1/2019 12:40,95.19
23/1/2019 12:41,41.89,,23/1/2019 12:41,95.19
23/1/2019 12:42,41.921,,23/1/2019 12:42,95.19
23/1/2019 12:43,41.91,,23/1/2019 12:43,95.175
23/1/2019 12:44,41.955,,23/1/2019 12:44,95.157
23/1/2019 12:45,41.97,,23/1/2019 12:45,95.25
23/1/2019 12:46,41.96,,23/1/2019 12:46,95.36
23/1/2019 12:47,41.98,,23/1/2019 12:47,95.53
23/1/2019 12:48,42.0165,,23/1/2019 12:48,95.59
